school,notenglish,fromnonenglish,notfrench,fromnonfrench
619779,5,0,100,0
22128,7,5,100,5
443638,0,0,95,0
117463,5,0,100,0
116840,10,0,100,0
124222,5,0,95,0
170662,6,2,98,2
904392,11,1,99,1
147109,5,0,100,0
147885,10,5,100,0
147915,30,0,100,0
148148,0,0,100,0
5215,0,0,100,0
905674,10,1,99,1
905585,0,0,100,5
165514,26,3,100,4
156078,10,0,95,0
906565,5,2,99,3
493031,15,0,100,0
192210,10,5,100,5
193119,20,5,100,0
531551,0,0,100,0
206253,9,0,99,0
911291,5,5,95,5
210277,14,4,100,4
213829,18,3,100,3
218103,5,0,100,0
219908,20,0,100,0
567787,10,0,100,0
221805,15,0,100,0
477435,0,0,100,0
244791,10,0,100,0
916331,8,3,100,3
231533,14,4,100,4
259160,0,5,100,5
918423,25,3,99,3
280844,25,0,95,0
559271,17,2,99,2
283495,17,4,99,4
286095,2,1,100,1
446033,13,1,99,1
124745,10,5,100,0
304379,15,5,100,5
99872,5,0,100,5
311707,25,0,100,0
313050,20,5,100,5
312983,30,5,100,0
321176,10,5,100,0
328740,17,2,100,2
348503,5,0,95,0
932345,11,2,99,3
350508,0,0,95,0
356271,5,0,100,0
580847,14,1,100,1
450298,8,1,100,0
493816,23,4,100,5
394819,25,2,100,3
932329,8,2,100,2
425630,20,5,95,0
935310,13,1,100,2
443573,9,3,100,3
935360,20,2,100,2
936227,2,1,100,1
477303,0,0,100,0
458830,6,3,100,3
461423,0,5,100,5
463396,10,5,100,10
451177,1,0,99,1
937525,6,1,100,2
336001,19,3,100,3
489336,15,0,100,0
201258,32,4,99,4
490563,10,0,100,0
509736,0,0,100,0
503720,5,0,100,0
197235,27,4,100,5
531049,19,3,100,3
941603,15,3,100,3
515523,10,5,100,0
520225,13,3,100,3
622044,15,0,100,0
526673,9,1,100,2
536512,25,5,100,5
542148,0,0,100,0
543861,10,0,100,0
551066,35,5,100,5
96270,0,0,100,0
566870,0,0,100,0
948969,2,1,100,1
569933,43,7,100,7
569216,35,5,100,0
570389,10,0,100,0
577049,5,0,100,5
92886,43,4,100,4
577669,8,3,100,3
309061,36,5,100,5
93700,7,1,99,0
590916,10,5,100,5
325635,25,10,100,10
598909,20,0,100,0
595535,20,5,100,5
171101,9,3,100,3
610704,19,4,99,4
525960,27,3,100,3
614904,4,1,100,2
617440,10,5,100,5
438276,44,2,100,3
4758,0,0,100,5
31739,0,0,95,0
41807,0,0,100,0
521116,0,0,100,0
403466,0,0,100,0
34339,10,0,100,0
896187,3,1,99,1
62006,10,5,100,10
70254,0,0,100,0
75604,10,0,100,0
899046,0,0,100,0
89966,5,0,100,0
90077,10,0,100,0
90816,10,5,100,5
468064,2,0,100,1
192880,4,0,100,0
126306,10,0,100,0
903728,2,2,100,2
136441,5,0,95,0
151130,0,0,100,0
906069,0,0,100,0
170372,0,5,100,0
220035,0,0,100,0
226017,0,0,100,0
891304,0,0,100,0
227056,5,0,100,0
229393,0,0,100,0
233706,0,0,95,0
915033,0,0,100,0
265608,80,5,100,5
280097,0,0,100,0
281263,0,0,100,0
282308,0,0,100,0
295434,0,5,100,0
145602,2,0,100,0
97314,20,0,100,0
308170,5,0,100,0
326259,0,0,100,0
329100,5,0,100,0
132010,0,0,100,0
898007,4,0,100,1
378372,0,0,100,0
930245,6,1,100,1
410225,0,0,100,0
502324,0,0,100,0
417505,0,0,100,0
97446,10,0,100,0
97578,0,0,100,0
933490,1,0,99,0
934402,5,1,100,2
451304,0,0,95,0
452866,0,0,100,0
456764,0,0,100,0
469505,0,0,100,0
485306,0,1,100,0
494208,5,0,100,0
412984,6,2,100,1
505510,0,0,100,0
941557,1,0,100,1
521760,0,0,100,0
403725,0,0,100,0
153931,1,1,100,1
916412,0,0,100,0
949035,35,0,100,0
584037,0,0,100,0
586110,0,0,100,0
176049,42,3,100,3
950785,0,0,100,0
1899,0,0,100,0
596647,0,0,100,0
1104,5,5,100,5
18660,0,5,100,5
19054,1,1,100,1
929727,5,0,100,0
41297,3,1,100,1
41947,31,6,99,5
98094,0,0,100,0
95885,20,5,100,10
91073,0,0,100,0
123838,20,10,100,10
131245,10,5,100,0
134880,0,0,100,0
142948,50,30,100,35
590984,0,0,100,0
362379,25,0,100,0
164690,20,10,100,10
909440,1,1,100,0
334012,1,1,100,1
222119,5,5,100,5
201391,31,3,100,3
203009,56,36,100,36
911780,1,0,100,0
211192,40,30,100,30
34361,24,5,100,4
220817,25,15,100,10
222240,5,5,100,5
91464,0,0,100,0
245658,0,0,100,0
917249,34,5,100,6
268267,0,5,100,0
279315,30,10,100,10
91596,5,1,100,1
283347,10,5,100,5
294659,15,10,100,10
920100,6,1,100,1
300500,5,5,100,5
308897,9,3,100,4
551941,12,1,100,2
922188,32,11,100,11
327026,15,10,100,10
331180,0,0,100,0
338206,30,10,100,15
343536,30,10,100,15
376035,20,10,100,10
411787,52,16,100,15
435872,35,5,100,0
452734,0,5,100,5
454168,44,34,100,35
457280,10,0,100,0
462098,36,19,100,18
574155,25,20,100,20
